"org_region5","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex","year"
"Rest Capital","Female","40-44",78694,131885,0.626297019170952,0.692903059008594,0.951026738149611,0.0489732618503891,0.692903059008594,0.0339337229457635,3.37968098767856,32.6296128625604,47.0911658396296,2000
"Rest Capital","Female","45-49",58621,86346,0.595625211254975,0.65896933606283,0.999999,1e-06,0.65896933606283,6.5896933606283e-07,3.29484503289081,29.2499318748818,44.3873944873406,2000
"Rest Capital","Female","50-54",43233,64497,0.598691172375383,0.662361358975448,0.999999,1e-06,0.658968677093494,6.58968677093494e-07,3.29484173804578,25.955086841991,39.387436374777,2000
"Rest Capital","Female","55-59",37245,58058,0.609193834401855,0.673980968239291,0.999999,1e-06,0.658968018124817,6.58968018124817e-07,3.29483844320404,22.6602451039452,34.3874732622503,2000
"Rest Capital","Female","60-64",29930,60052,0.66737792002845,0.738352871157898,0.999999,1e-06,0.658967359156799,6.58967359156799e-07,3.2948351483656,19.3654066607412,29.3875051497554,2000
"Rest Capital","Female","65-69",21708,50233,0.698252734879971,0.772511190616709,0.999999,1e-06,0.65896670018944,6.5896670018944e-07,3.29483185353045,16.0705715123756,24.3875320372875,2000
"Rest Capital","Female","70-74",14578,35347,0.708002003004507,0.783297283316828,0.984839666845725,0.0151603331542755,0.65896604122274,0.00999014472229074,3.26985484430797,12.7757396588451,19.3875539248414,2000
"Rest Capital","Female","75-79",10440,24046,0.697268456765064,0.771422235542906,0.971802055830601,0.0281979441693986,0.648975896500449,0.018299786096805,3.19913001726023,9.50588481453714,14.6475159798644,2000
"Rest Capital","Female","80-84",6709,14101,0.67760691975012,0.749669714414034,0.999999,1e-06,0.630676110403644,6.30676110403644e-07,3.15337897532794,6.30675479727691,9.9999900000025,2000
"Rest Capital","Female","85+",3678,9420,0.719193770041228,0.795679283195609,0.999999,1e-06,0.630675479727533,6.30675479727533e-07,3.15337582194897,3.15337582194897,4.9999975,2000
"Rest Capital","Male","0-4",39961,390346,0.907133744047854,1,0.929504701754818,0.070495298245182,1,0.070495298245182,4.82376175438704,70.4745748760243,70.4745748760243,2000
"Rest Capital","Male","5-9",69050,371278,0.843185080212932,0.929504701754818,0.962479339874031,0.0375206601259693,0.929504701754818,0.034875630000033,4.56033443377401,65.6508131216373,70.6298881519315,2000
"Rest Capital","Male","10-14",60464,260382,0.811548219394975,0.894629071754785,0.977900218020641,0.0220997819793588,0.894629071754785,0.0197711074381769,4.42371759017848,61.0904786878633,68.2858188008985,2000
"Rest Capital","Male","15-19",57397,220707,0.793613180680609,0.874857964316608,0.967421744241588,0.0325782557584121,0.874857964316608,0.0285013465137902,4.30303645529856,56.6667610976848,64.7725269803651,2000
"Rest Capital","Male","20-24",38821,128337,0.767758647507149,0.846356617802818,0.97463570982915,0.0253642901708501,0.846356617802818,0.0214672348419699,4.17811500190916,52.3637246423862,61.8695754731911,2000
"Rest Capital","Male","25-29",54746,162746,0.748284994390598,0.824889382960848,0.999999,1e-06,0.824889382960848,8.24889382960848e-07,4.12444485258078,48.1856096404771,58.4146318716338,2000
