"org_admin","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex","year"
"Chungbuk","Male","50-54",39773,22534,0.361660808576885,0.414998210128893,0.999999,1e-06,0.390529949027014,3.90529949027014e-07,1.9526487688102,15.5841358015793,39.9050977790727,2000
"Chungbuk","Male","55-59",33981,22900,0.402594891088413,0.461969213269646,0.999999,1e-06,0.390529558497065,3.90529558497065e-07,1.95264681616143,13.6314870327691,34.9051351842079,2000
"Chungbuk","Male","60-64",26892,23187,0.463008446654286,0.531292504134406,0.999999,1e-06,0.390529167967507,3.90529167967507e-07,1.95264486351461,11.6788402166076,29.9051675893754,2000
"Chungbuk","Male","65-69",15651,18682,0.54414120525442,0.62439064693391,0.999999,1e-06,0.390528777438339,3.90528777438339e-07,1.95264291086975,9.72619535309303,24.9051949945704,2000
"Chungbuk","Male","70-74",8797,11591,0.568520698450069,0.652365605237674,0.999999,1e-06,0.390528386909561,3.90528386909561e-07,1.95264095822684,7.77355244222328,19.9052173997878,2000
"Chungbuk","Male","75-79",4844,7373,0.603503315052795,0.692507425781855,0.992419578337275,0.00758042166272455,0.390527996381174,0.00296036688366827,1.9452390646967,5.82091148399644,14.9052348050226,2000
"Chungbuk","Male","80-84",2171,3242,0.598928505449843,0.687257927489861,0.999999,1e-06,0.387567629497506,3.87567629497506e-07,1.93783717856846,3.87567241929974,9.9999900000025,2000
"Chungbuk","Male","85+",865,1762,0.670727065093262,0.769645272303633,0.999999,1e-06,0.387567241929877,3.87567241929877e-07,1.93783524073128,1.93783524073128,4.9999975,2000
"Chungbuk","Total","0-4",12659,86923,0.872878632684622,1,0.915432309340317,0.0845676906596833,1,0.0845676906596833,4.78858077335079,43.7312352636325,43.7312352636325,2000
"Chungbuk","Total","5-9",20293,80698,0.799061302492301,0.915432309340317,0.992014756020854,0.00798524397914646,0.915432309340317,0.0073099503364759,4.55888667086039,38.9426544902817,42.5401792059806,2000
"Chungbuk","Total","10-14",18496,70719,0.792680603037606,0.908122359003841,0.904141212708446,0.095858787291554,0.908122359003841,0.0870515080464534,4.32298302490307,34.3837678194213,37.8624834842062,2000
"Chungbuk","Total","15-19",32267,81628,0.716695201720883,0.821070850957388,0.796291573221875,0.203708426778125,0.821070850957388,0.167259051321906,3.68720662648217,30.0607847945182,36.6116818779606,2000
"Chungbuk","Total","20-24",49972,66431,0.570698349698891,0.653811799635481,0.767622078503866,0.232377921496134,0.653811799635481,0.15193142704894,2.88923043055506,26.3735781680361,40.3381801655157,2000
"Chungbuk","Total","25-29",93568,72947,0.438080653394589,0.501880372586542,0.778420909172499,0.221579090827501,0.501880372586542,0.111206196661893,2.23138637127798,23.484347737481,46.7927199791649,2000
"Chungbuk","Total","30-34",135755,70250,0.341011140506298,0.390674175924648,0.92246977002724,0.0775302299727605,0.390674175924648,0.0302890587038567,1.8776482328636,21.252961366203,54.4007325692861,2000
"Chungbuk","Total","35-39",168755,77449,0.314572468359572,0.360385117220792,0.999999,1e-06,0.360385117220792,3.60385117220792e-07,1.80192468514117,19.3753131333394,53.7628004251603,2000
"Chungbuk","Total","40-44",158747,74623,0.319762608732913,0.366331121830137,0.999999,1e-06,0.360384756835674,3.60384756835674e-07,1.80192288321648,17.5733884481983,48.762851688012,2000
"Chungbuk","Total","45-49",120876,58214,0.32505444190072,0.372393629227679,0.999999,1e-06,0.360384396450918,3.60384396450918e-07,1.8019210812936,15.7714655649818,43.76289795091,2000
"Chungbuk","Total","50-54",77890,42620,0.353663596382043,0.405169267684233,0.999999,1e-06,0.360384036066521,3.60384036066521e-07,1.80191927937252,13.9695444836882,38.7629392138492,2000
"Chungbuk","Total","55-59",72349,45736,0.387314222805606,0.443720591045268,0.999999,1e-06,0.360383675682485,3.60383675682485e-07,1.80191747745324,12.1676252043157,33.7629754768247,2000
